filename,kWeight,gap,runtime(ms),size,optimal?
MOD_w_rnd_graph_4000_30_1.txt,0.1,0.73,108000.03,18,FALSE
MOD_w_rnd_graph_4000_30_1.txt,0.25,0.73,108000.03,22,FALSE
MOD_w_rnd_graph_4000_30_1.txt,0.5,0.75,108000.03,25,FALSE
MOD_w_rnd_graph_4000_30_1.txt,0.75,0.76,108000.03,28,FALSE
MOD_w_rnd_graph_4000_30_1.txt,1,0.75,108000.02,31,FALSE
MOD_w_rnd_graph_4000_40_1.txt,0.1,0.73,108000.04,13,FALSE
MOD_w_rnd_graph_4000_40_1.txt,0.25,0.76,108000.03,16,FALSE
MOD_w_rnd_graph_4000_40_1.txt,0.5,0.75,108000.03,18,FALSE
MOD_w_rnd_graph_4000_40_1.txt,0.75,0.73,108000.04,22,FALSE
MOD_w_rnd_graph_4000_40_1.txt,1,0.75,108000.03,23,FALSE
MOD_w_rnd_graph_4000_50_1.txt,0.1,0.75,108000.04,9,FALSE
MOD_w_rnd_graph_4000_50_1.txt,0.25,0.73,108000.04,11,FALSE
MOD_w_rnd_graph_4000_50_1.txt,0.5,0.76,108000.04,15,FALSE
MOD_w_rnd_graph_4000_50_1.txt,0.75,0.75,108000.04,17,FALSE
MOD_w_rnd_graph_4000_50_1.txt,1,0.73,108000.04,20,FALSE
MOD_w_rnd_graph_500_20_1.txt,0.1,0.41,108000.01,12,FALSE
MOD_w_rnd_graph_500_20_1.txt,0.25,0.51,108000.01,16,FALSE
MOD_w_rnd_graph_500_20_1.txt,0.5,0.55,108000.0,18,FALSE
MOD_w_rnd_graph_500_20_1.txt,0.75,0.55,108000.0,20,FALSE
MOD_w_rnd_graph_500_20_1.txt,1,0.5,108000.01,22,FALSE
MOD_w_rnd_graph_500_30_1.txt,0.1,0.37,108000.01,10,FALSE
MOD_w_rnd_graph_500_30_1.txt,0.25,0.54,108000.04,12,FALSE
MOD_w_rnd_graph_500_30_1.txt,0.5,0.58,108000.01,13,FALSE
MOD_w_rnd_graph_500_30_1.txt,0.75,0.57,108000.03,14,FALSE
MOD_w_rnd_graph_500_30_1.txt,1,0.56,108000.0,16,FALSE
MOD_w_rnd_graph_500_40_1.txt,0.1,0.5,108000.01,8,FALSE
MOD_w_rnd_graph_500_40_1.txt,0.25,0.5,108000.04,8,FALSE
MOD_w_rnd_graph_500_40_1.txt,0.5,0.55,108000.0,11,FALSE
MOD_w_rnd_graph_500_40_1.txt,0.75,0.58,108000.01,12,FALSE
MOD_w_rnd_graph_500_40_1.txt,1,0.58,108000.0,12,FALSE
MOD_w_rnd_graph_500_50_1.txt,0.1,0.4,108000.01,5,FALSE
MOD_w_rnd_graph_500_50_1.txt,0.25,0.57,108000.05,7,FALSE
MOD_w_rnd_graph_500_50_1.txt,0.5,0.5,108000.01,8,FALSE
MOD_w_rnd_graph_500_50_1.txt,0.75,0.6,108000.01,10,FALSE
MOD_w_rnd_graph_500_50_1.txt,1,0.6,108000.0,12,FALSE
