graph;K;solution;size;gap;runtime(s);optimal?
w_lit_graph_300_50_3.txt;0.5;[28, 46, 63, 116, 244, 253];6;0.16666666666666666;900.01;False
w_lit_graph_300_50_3.txt;0.75;[51, 102, 139, 147, 165, 184, 271, 279];8;0.375;900.05;False
w_lit_graph_300_50_3.txt;1;[17, 42, 63, 71, 88, 96, 97, 168, 281];9;0.3333333333333333;900.1;False
w_lit_graph_200_30_2.txt;0.1;[18, 75, 131, 146, 154, 160, 161];7;0.0;85.7;True
w_lit_graph_200_30_2.txt;0.25;[13, 15, 54, 60, 71, 112, 122];7;0.0;51.87;True
w_lit_graph_200_30_2.txt;0.5;[4, 27, 88, 95, 136, 146, 167, 177, 192];9;0.2222222222222222;900.02;False
w_lit_graph_200_30_2.txt;0.75;[4, 25, 30, 70, 85, 106, 136, 154, 156, 179, 192];11;0.2727272727272727;900.12;False
w_lit_graph_200_30_2.txt;1;[24, 26, 27, 60, 79, 81, 85, 133, 146, 151, 154, 161];12;0.25;900.17;False
w_lit_graph_100_30_1.txt;0.1;[4, 31, 39, 42, 55, 99];6;0.0;0.86;True
w_lit_graph_100_30_1.txt;0.25;[6, 31, 42, 48, 78, 96];6;0.0;0.51;True
w_lit_graph_100_30_1.txt;0.5;[6, 13, 25, 26, 34, 54, 99];7;0.0;0.8;True
w_lit_graph_100_30_1.txt;0.75;[6, 12, 13, 22, 41, 43, 44, 49, 63];9;0.0;6.99;True
w_lit_graph_100_30_1.txt;1;[6, 25, 31, 34, 42, 70, 78, 91, 96, 99];10;0.0;8.08;True
w_lit_graph_400_30_2.txt;0.1;[42, 65, 98, 167, 215, 323, 331, 358];8;0.25;900.03;False
w_lit_graph_400_30_2.txt;0.25;[37, 59, 135, 200, 323, 325, 338, 358, 376];9;0.3333333333333333;900.06;False
w_lit_graph_400_30_2.txt;0.5;[13, 54, 60, 135, 148, 167, 245, 323, 358, 376, 388];11;0.45454545454545453;900.02;False
w_lit_graph_400_30_2.txt;0.75;[43, 65, 67, 105, 191, 200, 276, 292, 324, 331, 348, 376, 381];13;0.46153846153846156;900.06;False
w_lit_graph_400_30_2.txt;1;[2, 25, 53, 74, 178, 205, 250, 275, 304, 307, 338, 341, 365, 376, 391];15;0.4666666666666667;900.02;False
w_lit_graph_100_30_4.txt;0.1;[23, 58, 61, 65, 76, 80];6;0.0;0.78;True
w_lit_graph_100_30_4.txt;0.25;[24, 25, 58, 67, 72, 81];6;0.0;1.75;True
w_lit_graph_100_30_4.txt;0.5;[14, 36, 44, 61, 68, 80, 99];7;0.0;0.91;True
w_lit_graph_100_30_4.txt;0.75;[14, 16, 31, 39, 51, 61, 65, 71, 75];9;0.0;12.07;True
w_lit_graph_100_30_4.txt;1;[2, 14, 49, 51, 53, 54, 61, 65, 75, 94];10;0.0;17.02;True
w_lit_graph_200_50_2.txt;0.1;[7, 57, 115, 198];4;0.0;3.13;True
w_lit_graph_200_50_2.txt;0.25;[7, 26, 47, 72, 77];5;0.0;10.98;True
w_lit_graph_200_50_2.txt;0.5;[31, 65, 111, 141, 165];5;0.0;147.84;True
w_lit_graph_200_50_2.txt;0.75;[22, 64, 111, 119, 165, 180];6;0.0;599.89;True
w_lit_graph_200_50_2.txt;1;[5, 51, 65, 71, 72, 114, 115, 184];8;0.25;900.05;False
w_lit_graph_300_30_3.txt;0.1;[5, 7, 124, 251, 259, 260, 282];7;0.0;319.75;True
w_lit_graph_300_30_3.txt;0.25;[62, 111, 130, 155, 163, 176, 204, 232];8;0.25;900.06;False
w_lit_graph_300_30_3.txt;0.5;[5, 7, 16, 91, 104, 122, 130, 219, 260, 264];10;0.3;900.02;False
w_lit_graph_300_30_3.txt;0.75;[2, 5, 7, 40, 62, 104, 105, 121, 130, 246, 260, 291];12;0.3333333333333333;900.06;False
w_lit_graph_300_30_3.txt;1;[5, 7, 12, 21, 81, 94, 97, 104, 121, 181, 232, 259, 264];13;0.3076923076923077;900.08;False
w_lit_graph_400_40_4.txt;0.1;[2, 110, 174, 184, 361, 386];6;0.3333333333333333;900.01;False
w_lit_graph_400_40_4.txt;0.25;[110, 145, 229, 233, 303, 336, 396];7;0.2857142857142857;900.06;False
w_lit_graph_400_40_4.txt;0.5;[55, 134, 201, 227, 303, 329, 341, 374];8;0.375;900.07;False
w_lit_graph_400_40_4.txt;0.75;[22, 70, 101, 113, 145, 149, 213, 286, 305, 310];10;0.4;900.02;False
w_lit_graph_400_40_4.txt;1;[7, 45, 57, 62, 64, 69, 78, 280, 285, 303, 367];11;0.45454545454545453;900.01;False
