filename,numVertices,numEdges,kWeight,maxIterations,removeVerticesPercentage,wheelIterations,runtime(ms),size
MOD_w_rnd_graph_1000_20_1.txt,1000,100400,0.1,160,0.2,32,3563,14
MOD_w_rnd_graph_1000_20_1.txt,1000,100400,0.25,160,0.2,32,5186,18
MOD_w_rnd_graph_1000_20_1.txt,1000,100400,0.5,160,0.2,32,6922,22
MOD_w_rnd_graph_1000_20_1.txt,1000,100400,0.75,160,0.2,32,7976,24
MOD_w_rnd_graph_1000_20_1.txt,1000,100400,1.0,160,0.2,32,14219,27
MOD_w_rnd_graph_1000_30_1.txt,1000,150350,0.1,160,0.2,32,3699,10
MOD_w_rnd_graph_1000_30_1.txt,1000,150350,0.25,160,0.2,32,5455,13
MOD_w_rnd_graph_1000_30_1.txt,1000,150350,0.5,160,0.2,32,5743,15
MOD_w_rnd_graph_1000_30_1.txt,1000,150350,0.75,160,0.2,32,6429,16
MOD_w_rnd_graph_1000_30_1.txt,1000,150350,1.0,160,0.2,32,7267,19
MOD_w_rnd_graph_1000_40_1.txt,1000,200300,0.1,160,0.2,32,2320,8
MOD_w_rnd_graph_1000_40_1.txt,1000,200300,0.25,160,0.2,32,3218,10
MOD_w_rnd_graph_1000_40_1.txt,1000,200300,0.5,160,0.2,32,3216,11
MOD_w_rnd_graph_1000_40_1.txt,1000,200300,0.75,160,0.2,32,3628,13
MOD_w_rnd_graph_1000_40_1.txt,1000,200300,1.0,160,0.2,32,4795,15
MOD_w_rnd_graph_1000_50_1.txt,1000,250250,0.1,160,0.2,32,2058,6
MOD_w_rnd_graph_1000_50_1.txt,1000,250250,0.25,160,0.2,32,3814,8
MOD_w_rnd_graph_1000_50_1.txt,1000,250250,0.5,160,0.2,32,4931,10
MOD_w_rnd_graph_1000_50_1.txt,1000,250250,0.75,160,0.2,32,4831,11
MOD_w_rnd_graph_1000_50_1.txt,1000,250250,1.0,160,0.2,32,5856,12
MOD_w_rnd_graph_2000_20_1.txt,2000,400800,0.1,160,0.2,32,20579,16
MOD_w_rnd_graph_2000_20_1.txt,2000,400800,0.25,160,0.2,32,31717,21
MOD_w_rnd_graph_2000_20_1.txt,2000,400800,0.5,160,0.2,32,37127,24
MOD_w_rnd_graph_2000_20_1.txt,2000,400800,0.75,160,0.2,32,36819,27
