filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;wheelIterations;runtime(ms);size;solution
random/w_rnd_graph_500_20_1.txt;500;25200;0.5;160;0.2;32;1782;16;[452, 132, 389, 357, 328, 9, 491, 171, 109, 398, 495, 144, 432, 210, 279, 316]
random/w_rnd_graph_500_20_1.txt;500;25200;0.75;160;0.2;32;2350;21;[192, 257, 130, 387, 132, 389, 198, 391, 295, 457, 169, 493, 495, 48, 112, 498, 307, 308, 469, 279, 345]
random/w_rnd_graph_500_20_1.txt;500;25200;1.0;160;0.2;32;2405;23;[224, 130, 35, 198, 423, 491, 12, 45, 495, 432, 81, 435, 115, 404, 278, 279, 377, 123, 155, 381, 445, 382, 94]
random/w_rnd_graph_500_20_2.txt;500;25200;0.1;160;0.2;32;988;13;[486, 39, 458, 490, 429, 365, 310, 408, 26, 92, 412, 125, 317]
random/w_rnd_graph_500_20_2.txt;500;25200;0.25;160;0.2;32;921;14;[354, 99, 229, 453, 134, 171, 235, 461, 466, 408, 184, 472, 218, 123]
random/w_rnd_graph_500_20_2.txt;500;25200;0.5;160;0.2;32;181122;17;[355, 36, 422, 39, 487, 40, 41, 490, 142, 430, 211, 470, 375, 281, 26, 443, 155]
random/w_rnd_graph_500_20_2.txt;500;25200;0.75;160;0.2;32;1981;19;[64, 193, 194, 355, 387, 260, 198, 360, 203, 77, 142, 432, 209, 375, 408, 56, 443, 92, 60]
random/w_rnd_graph_500_20_2.txt;500;25200;1.0;160;0.2;32;2165;23;[352, 289, 193, 134, 360, 203, 171, 76, 142, 208, 432, 433, 19, 243, 340, 405, 183, 184, 281, 123, 125, 222, 287]
random/w_rnd_graph_500_50_3.txt;500;62625;0.1;160;0.2;32;492;5;[112, 145, 385, 375, 55]
random/w_rnd_graph_500_50_3.txt;500;62625;0.25;160;0.2;32;507;6;[304, 498, 195, 499, 452, 393]
random/w_rnd_graph_500_50_3.txt;500;62625;0.5;160;0.2;32;474;7;[22, 123, 171, 268, 332, 462, 399]
random/w_rnd_graph_500_50_3.txt;500;62625;0.75;160;0.2;32;635;9;[32, 304, 128, 450, 466, 3, 327, 171, 125]
random/w_rnd_graph_500_50_3.txt;500;62625;1.0;160;0.2;32;1205;11;[304, 322, 132, 407, 439, 393, 394, 123, 173, 366, 414]
random/w_rnd_graph_500_30_4.txt;500;37675;0.1;160;0.2;32;636;9;[400, 370, 499, 55, 9, 361, 474, 235, 379]
random/w_rnd_graph_500_30_4.txt;500;37675;0.25;160;0.2;32;662;9;[288, 85, 309, 122, 106, 317, 45, 174, 414]
random/w_rnd_graph_500_30_4.txt;500;37675;0.5;160;0.2;32;180399;11;[370, 402, 131, 420, 324, 276, 391, 460, 205, 430, 159]
random/w_rnd_graph_500_30_4.txt;500;37675;0.75;160;0.2;32;1743;15;[481, 357, 199, 167, 263, 168, 170, 267, 305, 243, 151, 472, 218, 59, 220]
random/w_rnd_graph_500_30_4.txt;500;37675;1.0;160;0.2;32;2246;17;[36, 199, 456, 265, 9, 205, 398, 400, 241, 369, 370, 468, 118, 25, 473, 381, 414]
