filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;wheelIterations;runtime(ms);size;solution
literature/w_adjnoun.txt;112;481;1.0;160;0.2;32;60109;48;[1, 2, 4, 8, 11, 13, 17, 27, 28, 39, 43, 47, 50, 51, 55, 56, 58, 62, 64, 65, 68, 69, 71, 72, 73, 74, 75, 77, 78, 82, 85, 86, 90, 91, 93, 94, 95, 96, 97, 99, 101, 104, 106, 107, 108, 109, 110, 111]
literature/w_zachary.txt;34;95;0.1;160;0.2;32;1;4;[0, 33, 5, 24]
literature/w_zachary.txt;34;95;0.25;160;0.2;32;3;5;[0, 33, 5, 23, 24]
literature/w_zachary.txt;34;95;0.5;160;0.2;32;5;8;[0, 32, 16, 33, 3, 23, 11, 31]
literature/w_zachary.txt;34;95;0.75;160;0.2;32;10;11;[0, 32, 16, 33, 1, 3, 4, 23, 27, 11, 31]
literature/w_zachary.txt;34;95;1.0;160;0.2;32;18;15;[0, 32, 33, 1, 2, 3, 4, 11, 15, 16, 21, 25, 27, 29, 31]
literature/w_huck.txt;74;338;0.1;160;0.2;32;21;9;[48, 16, 34, 3, 69, 21, 54, 73, 30]
literature/w_huck.txt;74;338;0.25;160;0.2;32;32;12;[3, 6, 73, 47, 48, 16, 51, 21, 53, 54, 56, 57]
literature/w_huck.txt;74;338;0.5;160;0.2;32;76;18;[0, 64, 32, 34, 3, 69, 70, 71, 42, 21, 53, 54, 57, 25, 59, 27, 30, 63]
literature/w_huck.txt;74;338;0.75;160;0.2;32;86;22;[3, 69, 38, 70, 71, 40, 73, 15, 47, 48, 51, 21, 53, 54, 22, 24, 57, 25, 59, 27, 60, 30]
literature/w_huck.txt;74;338;1.0;160;0.2;32;60069;24;[0, 67, 3, 69, 70, 73, 14, 15, 16, 25, 27, 30, 31, 32, 34, 35, 36, 41, 51, 54, 56, 57, 60, 63]
literature/w_football.txt;115;670;0.1;160;0.2;32;76;14;[0, 98, 6, 38, 104, 76, 109, 110, 18, 82, 114, 51, 58, 91]
literature/w_football.txt;115;670;0.25;160;0.2;32;95;15;[0, 2, 98, 66, 3, 68, 38, 71, 76, 83, 21, 86, 89, 58, 29]
literature/w_football.txt;115;670;0.5;160;0.2;32;101;19;[0, 101, 102, 40, 105, 106, 44, 12, 76, 15, 112, 82, 83, 51, 84, 54, 22, 24, 63]
literature/w_football.txt;115;670;0.75;160;0.2;32;177;24;[2, 5, 71, 73, 76, 12, 17, 82, 84, 21, 23, 87, 92, 29, 33, 38, 40, 109, 114, 50, 51, 57, 59, 61]
literature/w_football.txt;115;670;1.0;160;0.2;32;311;30;[0, 2, 68, 6, 71, 73, 11, 76, 12, 79, 81, 20, 84, 21, 88, 89, 91, 33, 35, 100, 102, 104, 42, 108, 113, 54, 57, 59, 60, 62]
literature/w_adjnoun.txt;112;481;0.1;160;0.2;32;205;18;[64, 1, 2, 70, 9, 42, 43, 107, 11, 14, 79, 17, 51, 24, 89, 92, 29, 94]
literature/w_adjnoun.txt;112;481;0.25;160;0.2;32;190;23;[64, 2, 68, 37, 103, 104, 9, 73, 74, 42, 11, 75, 107, 110, 79, 17, 51, 20, 55, 89, 27, 91, 95]
literature/w_adjnoun.txt;112;481;0.5;160;0.2;32;180236;28;[64, 2, 68, 5, 8, 73, 74, 11, 76, 77, 17, 20, 90, 27, 91, 92, 104, 43, 107, 109, 110, 47, 51, 54, 55, 56, 58, 62]
literature/w_adjnoun.txt;112;481;0.75;160;0.2;32;593;37;[64, 2, 68, 5, 69, 8, 73, 74, 75, 76, 12, 14, 79, 80, 17, 85, 23, 90, 91, 27, 92, 94, 95, 31, 97, 99, 102, 104, 107, 109, 110, 111, 51, 55, 56, 58, 62]
literature/w_adjnoun.txt;112;481;1.0;160;0.2;32;180074;49;[2, 3, 4, 8, 12, 16, 17, 23, 28, 39, 40, 43, 47, 50, 51, 52, 55, 58, 62, 64, 65, 68, 69, 71, 72, 73, 74, 75, 77, 79, 82, 85, 86, 90, 91, 93, 94, 95, 96, 97, 99, 101, 104, 106, 107, 108, 109, 110, 111]
