graph;K;solution;size;gap;runtime(s);optimal?
w_rnd_graph_3000_50_1.txt;0.5;[88, 195, 407, 546, 557, 688, 731, 893, 1061, 2916, 2942];11;0.7272727272727273;1800.01;False
w_rnd_graph_3000_50_1.txt;0.75;[125, 236, 280, 412, 463, 937, 1352, 1773, 2338, 2506, 2701, 2939];12;0.6666666666666666;1800.09;False
w_rnd_graph_3000_50_1.txt;1;[356, 660, 844, 1009, 1125, 1394, 1481, 1750, 1906, 1972, 2291, 2603, 2716, 2791];14;0.7142857142857143;1800.01;False
w_rnd_graph_1000_50_1.txt;0.1;[179, 244, 294, 362, 510, 761];6;0.5;1800.28;False
w_rnd_graph_1000_50_1.txt;0.25;[2, 404, 550, 624, 687, 752, 863];7;0.5714285714285714;1800.02;False
w_rnd_graph_1000_50_1.txt;0.5;[63, 148, 322, 425, 439, 550, 858, 980];8;0.625;1800.04;False
w_rnd_graph_1000_50_1.txt;0.75;[1, 111, 246, 406, 496, 597, 643, 649, 673, 687];10;0.6;1800.04;False
w_rnd_graph_1000_50_1.txt;1;[6, 91, 148, 169, 211, 334, 462, 558, 610, 913, 979];11;0.6363636363636364;1800.11;False
w_rnd_graph_3000_20_1.txt;0.1;[9, 41, 285, 450, 479, 572, 668, 802, 859, 1100, 1166, 1232, 1591, 1649, 1937, 2172, 2310, 2604, 2630];19;0.6842105263157895;1800.12;False
w_rnd_graph_3000_20_1.txt;0.25;[35, 105, 572, 694, 709, 802, 1006, 1166, 1276, 1301, 1376, 1530, 1536, 1537, 1597, 1635, 1715, 2271, 2281, 2359, 2832, 2838];22;0.7272727272727273;1800.17;False
w_rnd_graph_3000_20_1.txt;0.5;[64, 125, 198, 337, 438, 486, 664, 831, 1369, 1624, 1635, 1893, 2124, 2239, 2280, 2444, 2458, 2774, 2788, 2801, 2813, 2822, 2851, 2938, 2947];25;0.72;1800.1;False
w_rnd_graph_3000_20_1.txt;0.75;[77, 205, 337, 440, 479, 787, 818, 831, 984, 1006, 1084, 1095, 1482, 1603, 1636, 1666, 1739, 1790, 1856, 2080, 2337, 2359, 2444, 2454, 2519, 2597, 2598, 2758, 2859, 2988];30;0.7333333333333333;1800.04;False
w_rnd_graph_3000_20_1.txt;1;[74, 198, 254, 301, 397, 514, 571, 754, 823, 848, 863, 1006, 1023, 1197, 1295, 1346, 1369, 1378, 1406, 1434, 1643, 1790, 1823, 1872, 1886, 1889, 1983, 2022, 2770, 2784, 2794, 2826];32;0.6875;1800.05;False
w_rnd_graph_4000_50_1.txt;0.1;[624, 1018, 1143, 1867, 1925, 2129, 2691, 3238];8;0.75;1800.53;False
w_rnd_graph_4000_50_1.txt;0.25;[1124, 1432, 2323, 2461, 2743, 2822, 3027, 3100, 3102, 3209];10;0.7;1800.04;False
w_rnd_graph_4000_50_1.txt;0.5;[324, 623, 808, 1140, 1563, 1564, 2086, 2264, 2926, 3158, 3254];11;0.7272727272727273;1801.3;False
w_rnd_graph_4000_50_1.txt;0.75;[763, 813, 1063, 1346, 1797, 2047, 2264, 2717, 3156, 3285, 3354, 3418, 3460];13;0.7692307692307693;1801.59;False
w_rnd_graph_4000_50_1.txt;1;[336, 373, 648, 649, 1047, 1800, 1843, 1844, 1868, 1922, 2925, 3116, 3161, 3671];14;0.7142857142857143;1801.37;False
w_rnd_graph_500_50_2.txt;0.1;[7, 10, 294, 377, 423];5;0.0;1766.63;True
w_rnd_graph_500_50_2.txt;0.25;[22, 70, 258, 357, 437, 441];6;0.3333333333333333;1800.01;False
w_rnd_graph_500_50_2.txt;0.5;[102, 174, 181, 190, 411, 415, 428];7;0.42857142857142855;1800.01;False
w_rnd_graph_500_50_2.txt;0.75;[79, 86, 136, 150, 258, 387, 403, 420, 465];9;0.4444444444444444;1800.01;False
w_rnd_graph_500_50_2.txt;1;[19, 79, 98, 179, 238, 262, 267, 411, 489];9;0.4444444444444444;1800.01;False
