filename,numVertices,numEdges,kWeight,maxIterations,removeVerticesPercentage,destructionMethod,reconstructionMethod,runtime(ms),size
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,8111,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,53814,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,9464,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,8127,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,8298,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,58003,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,10360,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,8747,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,10767,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,29185,15
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,11608,19
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,9789,18
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,10205,18
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,15647,19
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,EDGE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,11822,18
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,EDGE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,10436,18
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,11414,18
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,57359,18
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,12483,19
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,11491,19
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,10574,18
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,59761,19
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,15198,18
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,13805,19
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,13415,19
w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,33990,19
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,13844,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,RANDOM_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,14058,22
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,RANDOM_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,13456,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,RANDOM_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,14432,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,EDGE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,14729,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,EDGE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,14651,22
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,13534,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,80388,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,15698,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,18921,22
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,15217,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,125575,22
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,18947,22
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,20793,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,25679,21
w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,46719,21
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,1274,14
