filename,numVertices,numEdges,kWeight,maxIterations,removeVerticesPercentage,destructionMethod,reconstructionMethod,runtime(ms),size,,size,size
w_adjnoun.txt,112,481,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,44,28,,,
w_adjnoun.txt,112,481,0.5,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,535,28,,,
w_adjnoun.txt,112,481,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,309,28,,,
w_adjnoun.txt,112,481,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,118,28,,,
w_adjnoun.txt,112,481,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,117,28,,,
w_adjnoun.txt,112,481,0.5,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,291,28,,,
w_adjnoun.txt,112,481,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,183,37,,,
w_adjnoun.txt,112,481,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,49,37,,,
w_adjnoun.txt,112,481,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,49,37,,,
w_adjnoun.txt,112,481,0.75,160,0.2,RANDOM_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,2027,36,,,
w_adjnoun.txt,112,481,0.75,160,0.2,EDGE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,319,37,,,
w_adjnoun.txt,112,481,0.75,160,0.2,EDGE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,63,37,,,
w_adjnoun.txt,112,481,0.75,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,65,36,,,
w_adjnoun.txt,112,481,0.75,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,1419,36,,,
w_adjnoun.txt,112,481,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,316,36,,,
w_adjnoun.txt,112,481,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,77,36,,,
w_adjnoun.txt,112,481,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,77,36,,,
w_adjnoun.txt,112,481,0.75,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,834,39,,,
w_adjnoun.txt,112,481,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,359,37,,,
w_adjnoun.txt,112,481,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,201,39,,,
w_adjnoun.txt,112,481,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,200,38,,,
w_adjnoun.txt,112,481,0.75,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,378,38,,,
w_adjnoun.txt,112,481,1.0,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,187,46,,,
w_adjnoun.txt,112,481,1.0,160,0.2,RANDOM_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,68,47,,,
w_adjnoun.txt,112,481,1.0,160,0.2,RANDOM_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,69,47,,,
w_adjnoun.txt,112,481,1.0,160,0.2,RANDOM_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,2302,45,,,
