filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;rxrSize;rxrTime;rxeSize;rxeTime;rxcoSize;rxcoTime;rxcmSize;rxcmTime;exrSize;exrTime;exeSize;exeTime;excoSize;excoTime;excmSize;excmTime;coxrSize;coxrTime;coxeSize;coxeTime;coxcoSize;coxcoTime;coxcmSize;coxcmTime;cmxrSize;cmxrTime;cmxeSize;cmxeTime;cmxcoSize;cmxcoTime;cmxcmSize;cmxcmTime
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.1;160;0.2;15;0.0;16;0.0;16;0.0;15;1.0;13;4.0;15;0.0;16;0.0;13;60.0;14;3.0;16;0.0;16;0.0;13;40.0;12;11.0;16;2.0;15;2.0;14;34.0
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.2;17;0.0;19;0.0;17;0.0;17;4.0;17;6.0;19;0.0;19;0.0;15;48.0;16;5.0;19;0.0;19;0.0;15;85.0;16;9.0;18;2.0;17;2.0;15;46.0
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;160;0.2;20;0.0;20;0.0;19;0.0;19;13.0;18;8.0;20;0.0;21;0.0;18;46.0;18;6.0;20;0.0;20;1.0;17;60.0;18;10.0;19;2.0;20;3.0;19;28.0
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;160;0.2;23;0.0;23;0.0;23;0.0;21;22.0;21;9.0;24;0.0;22;1.0;20;79.0;21;17.0;22;1.0;24;1.0;20;170.0;21;18.0;23;3.0;22;3.0;21;62.0
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;160;0.2;23;1.0;24;0.0;24;0.0;26;11.0;23;19.0;25;0.0;25;1.0;22;153.0;23;14.0;25;1.0;25;1.0;22;125.0;23;12.0;26;4.0;23;3.0;24;35.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.1;160;0.2;17;0.0;19;0.0;19;0.0;18;0.0;18;3.0;20;0.0;20;0.0;17;13.0;18;2.0;20;0.0;20;0.0;17;13.0;18;3.0;21;0.0;19;0.0;16;8.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.25;160;0.2;22;0.0;21;0.0;22;0.0;21;3.0;19;6.0;21;0.0;22;0.0;19;14.0;20;4.0;22;0.0;23;0.0;18;19.0;19;4.0;21;0.0;21;0.0;20;11.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.5;160;0.2;24;0.0;24;0.0;23;0.0;24;8.0;23;6.0;25;0.0;27;0.0;22;18.0;23;9.0;26;0.0;26;0.0;23;28.0;23;5.0;24;1.0;23;1.0;23;9.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.75;160;0.2;28;0.0;29;0.0;27;0.0;29;6.0;28;7.0;30;0.0;30;0.0;25;55.0;26;13.0;31;0.0;30;0.0;25;49.0;28;7.0;29;1.0;31;1.0;27;9.0
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;1.0;160;0.2;31;2.0;31;0.0;33;0.0;29;26.0;30;11.0;35;0.0;34;0.0;28;37.0;30;14.0;34;0.0;32;0.0;29;58.0;29;9.0;34;1.0;33;1.0;31;10.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.1;160;0.2;8;0.0;7;0.0;8;0.0;9;0.0;7;0.0;8;0.0;7;0.0;8;4.0;7;0.0;8;0.0;8;0.0;7;5.0;7;0.0;8;0.0;8;0.0;7;5.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.25;160;0.2;9;0.0;8;0.0;9;0.0;9;0.0;8;0.0;10;0.0;10;0.0;9;4.0;8;1.0;9;0.0;10;0.0;8;5.0;8;1.0;9;0.0;9;0.0;8;5.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.5;160;0.2;10;0.0;11;0.0;12;0.0;10;0.0;9;0.0;11;0.0;11;0.0;10;9.0;10;0.0;11;0.0;10;0.0;10;10.0;9;2.0;10;0.0;10;0.0;10;6.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;0.75;160;0.2;12;0.0;12;0.0;12;0.0;12;1.0;11;1.0;13;0.0;12;0.0;11;9.0;11;1.0;13;0.0;12;0.0;10;17.0;11;1.0;12;0.0;12;0.0;12;6.0
rerun/w_rnd_graph_1000_50_3.txt;1000;250250;1.0;160;0.2;12;0.0;13;0.0;14;0.0;14;1.0;12;2.0;14;0.0;15;0.0;13;8.0;12;1.0;13;0.0;14;0.0;14;8.0;12;2.0;13;0.0;14;0.0;12;7.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;0.1;160;0.2;22;0.0;23;0.0;22;0.0;22;5.0;21;8.0;24;0.0;23;0.0;18;88.0;21;9.0;23;0.0;23;0.0;18;108.0;21;10.0;21;3.0;21;3.0;22;27.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;0.25;160;0.2;23;1.0;26;0.0;25;0.0;23;12.0;23;11.0;27;1.0;25;1.0;22;100.0;23;18.0;26;1.0;26;1.0;22;82.0;24;10.0;25;3.0;25;3.0;24;31.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;0.5;160;0.2;28;1.0;27;0.0;27;0.0;28;15.0;26;26.0;28;0.0;27;1.0;25;192.0;27;24.0;29;0.0;30;1.0;24;175.0;26;23.0;28;4.0;28;4.0;28;32.0
rerun/w_rnd_graph_2000_20_1.txt;2000;400800;0.75;160;0.2;34;0.0;31;1.0;31;1.0;32;39.0;31;27.0;32;1.0;34;1.0;29;302.0;32;17.0;34;1.0;32;2.0;28;99.0;31;20.0;32;5.0;32;4.0;33;33.0
