filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;rxrOF;rxrTime;rxeOF;rxeTime;rxcoOF;rxcoTime;rxcmOF;rxcmTime;exrOF;exrTime;exeOF;exeTime;excoOF;excoTime;excmOF;excmTime;coxrOF;coxrTime;coxeOF;coxeTime;coxcoOF;coxcoTime;coxcmOF;coxcmTime;cmxrOF;cmxrTime;cmxeOF;cmxeTime;cmxcoOF;cmxcoTime;cmxcmOF;cmxcmTime
literature/w_polbooks.txt;105;493;1.0;64;0.2;41.0;0.051;38.0;0.013;46.0;0.02;32.0;0.491;41.0;0.084;42.0;0.025;45.0;0.031;40.0;0.548;38.0;0.073;42.0;0.028;39.0;0.021;38.0;0.359;41.0;0.151;42.0;0.096;45.0;0.122;41.0;0.122
literature/w_adjnoun.txt;112;481;0.1;64;0.2;33.0;0.036;27.0;0.01;31.0;0.013;29.0;0.159;24.0;0.068;32.0;0.012;22.0;0.01;25.0;0.287;31.0;0.088;27.0;0.018;28.0;0.015;22.0;0.17;26.0;0.057;33.0;0.06;29.0;0.041;31.0;0.09
literature/w_adjnoun.txt;112;481;0.25;64;0.2;33.0;0.044;38.0;0.013;40.0;0.01;28.0;0.098;27.0;0.091;40.0;0.014;32.0;0.017;33.0;0.581;32.0;0.099;38.0;0.02;34.0;0.022;29.0;0.239;34.0;0.095;30.0;0.051;34.0;0.06;38.0;0.096
literature/w_adjnoun.txt;112;481;0.5;64;0.2;40.0;0.056;40.0;0.018;38.0;0.018;29.0;0.354;37.0;0.119;32.0;0.019;42.0;0.018;39.0;0.35;35.0;0.107;35.0;0.022;38.0;0.023;37.0;0.348;42.0;0.148;42.0;0.088;42.0;0.087;35.0;0.138
literature/w_adjnoun.txt;112;481;0.75;64;0.2;47.0;0.068;46.0;0.02;47.0;0.022;39.0;0.522;42.0;0.128;49.0;0.025;47.0;0.025;46.0;0.52;42.0;0.139;47.0;0.035;47.0;0.037;47.0;0.357;41.0;0.15;44.0;0.089;51.0;0.124;45.0;0.161
literature/w_adjnoun.txt;112;481;1.0;64;0.2;51.0;0.079;50.0;0.03;53.0;0.023;51.0;0.399;50.0;0.123;50.0;0.031;49.0;0.029;52.0;0.758;52.0;0.128;50.0;0.037;50.0;0.039;51.0;0.463;48.0;0.236;50.0;0.128;50.0;0.128;50.0;0.218
literature/w_zachary.txt;34;95;0.1;64;0.2;4.0;0.0;7.0;0.0;4.0;0.001;7.0;0.001;9.0;0.003;7.0;0.002;7.0;0.0;10.0;0.008;6.0;0.003;8.0;0.001;4.0;0.0;12.0;0.006;4.0;0.0;9.0;0.001;4.0;0.0;9.0;0.005
literature/w_zachary.txt;34;95;0.25;64;0.2;9.0;0.002;10.0;0.001;11.0;0.0;5.0;0.001;5.0;0.002;13.0;0.001;6.0;0.001;6.0;0.003;15.0;0.005;11.0;0.002;6.0;0.001;10.0;0.006;10.0;0.005;9.0;0.001;5.0;0.001;6.0;0.004
literature/w_zachary.txt;34;95;0.5;64;0.2;13.0;0.002;14.0;0.001;14.0;0.001;8.0;0.005;13.0;0.005;10.0;0.001;13.0;0.001;14.0;0.01;14.0;0.005;10.0;0.001;14.0;0.002;12.0;0.008;11.0;0.006;15.0;0.004;13.0;0.003;13.0;0.007
literature/w_zachary.txt;34;95;0.75;64;0.2;13.0;0.003;13.0;0.001;14.0;0.001;13.0;0.006;14.0;0.005;13.0;0.001;16.0;0.002;13.0;0.007;16.0;0.007;16.0;0.002;14.0;0.002;13.0;0.009;13.0;0.008;12.0;0.003;14.0;0.003;13.0;0.008
literature/w_zachary.txt;34;95;1.0;64;0.2;18.0;0.004;17.0;0.001;18.0;0.001;16.0;0.012;18.0;0.006;19.0;0.002;20.0;0.002;18.0;0.016;19.0;0.008;17.0;0.002;17.0;0.003;17.0;0.011;18.0;0.01;23.0;0.007;17.0;0.004;17.0;0.012
literature/w_huck.txt;74;338;0.1;64;0.2;9.0;0.003;10.0;0.003;9.0;0.002;10.0;0.01;9.0;0.015;14.0;0.004;16.0;0.003;13.0;0.023;11.0;0.022;9.0;0.003;10.0;0.004;9.0;0.011;12.0;0.016;9.0;0.003;11.0;0.006;15.0;0.019
literature/w_huck.txt;74;338;0.25;64;0.2;16.0;0.01;12.0;0.002;17.0;0.004;16.0;0.016;16.0;0.037;15.0;0.004;14.0;0.005;16.0;0.051;19.0;0.038;14.0;0.004;19.0;0.005;17.0;0.041;19.0;0.034;14.0;0.009;13.0;0.007;20.0;0.025
literature/w_huck.txt;74;338;0.5;64;0.2;21.0;0.012;20.0;0.005;20.0;0.003;21.0;0.036;20.0;0.042;21.0;0.005;26.0;0.007;21.0;0.087;21.0;0.05;22.0;0.006;21.0;0.006;22.0;0.056;21.0;0.049;20.0;0.016;21.0;0.017;19.0;0.036
literature/w_huck.txt;74;338;0.75;64;0.2;25.0;0.019;25.0;0.006;26.0;0.004;24.0;0.055;25.0;0.044;25.0;0.007;30.0;0.007;25.0;0.089;23.0;0.052;24.0;0.008;24.0;0.008;26.0;0.067;25.0;0.052;25.0;0.026;24.0;0.019;26.0;0.049
literature/w_huck.txt;74;338;1.0;64;0.2;34.0;0.024;31.0;0.005;29.0;0.006;29.0;0.07;28.0;0.049;28.0;0.007;28.0;0.007;29.0;0.107;29.0;0.05;31.0;0.009;29.0;0.01;35.0;0.125;28.0;0.058;29.0;0.025;29.0;0.025;29.0;0.059
literature/w_football.txt;115;670;0.1;64;0.2;16.0;0.005;18.0;0.003;15.0;0.002;16.0;0.023;17.0;0.017;16.0;0.004;17.0;0.004;16.0;0.163;16.0;0.017;17.0;0.004;17.0;0.005;15.0;0.103;15.0;0.023;17.0;0.015;19.0;0.016;17.0;0.05
literature/w_football.txt;115;670;0.25;64;0.2;18.0;0.006;19.0;0.001;19.0;0.002;18.0;0.099;20.0;0.024;19.0;0.005;20.0;0.006;17.0;0.119;18.0;0.021;18.0;0.007;20.0;0.006;21.0;0.13;20.0;0.029;20.0;0.021;19.0;0.017;20.0;0.053
literature/w_football.txt;115;670;0.5;64;0.2;23.0;0.013;22.0;0.004;22.0;0.004;23.0;0.057;20.0;0.029;24.0;0.013;23.0;0.008;22.0;0.267;23.0;0.025;24.0;0.01;24.0;0.011;22.0;0.118;25.0;0.042;23.0;0.027;23.0;0.026;21.0;0.062
literature/w_football.txt;115;670;0.75;64;0.2;29.0;0.017;29.0;0.006;31.0;0.007;27.0;0.096;27.0;0.038;29.0;0.011;28.0;0.012;28.0;0.494;28.0;0.032;29.0;0.012;30.0;0.014;28.0;0.283;30.0;0.063;29.0;0.038;29.0;0.044;30.0;0.084
literature/w_football.txt;115;670;1.0;64;0.2;34.0;0.022;32.0;0.007;32.0;0.01;31.0;0.308;33.0;0.046;34.0;0.013;41.0;0.02;29.0;0.629;33.0;0.038;34.0;0.014;41.0;0.018;31.0;0.216;34.0;0.072;33.0;0.051;47.0;0.098;36.0;0.104
