filename;numVertices;numEdges;kWeight;maxIterations;removeVerticesPercentage;insertionMethod;destructionMethod;reconstructionMethod;runtime(ms);size;solution
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;64;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6569;13;[833, 776, 1896, 1897, 1258, 462, 657, 1972, 1461, 280, 1914, 1183, 1279]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;96;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5494;13;[833, 1828, 932, 967, 1897, 971, 558, 1998, 207, 1231, 312, 282, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;96;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5477;13;[833, 1828, 932, 967, 1897, 971, 1997, 558, 207, 1431, 312, 571, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;96;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5844;13;[1792, 833, 1061, 1989, 1897, 1102, 1999, 1107, 1461, 1175, 855, 1183, 1791]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;96;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;8606;13;[833, 1828, 932, 967, 1897, 558, 1998, 207, 312, 571, 667, 28, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;128;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5685;13;[833, 1828, 932, 1958, 967, 1897, 971, 972, 558, 207, 312, 282, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;128;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7145;13;[1792, 833, 1061, 1989, 1897, 1102, 1999, 1107, 1461, 1175, 855, 1183, 1791]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;128;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6484;13;[833, 1828, 932, 967, 712, 1897, 971, 558, 1998, 207, 1846, 312, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;128;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6767;13;[833, 1828, 932, 967, 712, 1897, 971, 1995, 558, 207, 1846, 312, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5620;13;[833, 1987, 1828, 932, 967, 1897, 971, 972, 558, 207, 312, 282, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;5644;13;[833, 1828, 932, 967, 1897, 558, 1998, 207, 312, 571, 667, 28, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7034;13;[640, 833, 1828, 1189, 1991, 1897, 651, 108, 1998, 1776, 692, 1432, 1209]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.25;160;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7643;13;[833, 129, 674, 419, 1768, 1897, 462, 1487, 1711, 1905, 1461, 1977, 1183]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6653;15;[932, 1289, 875, 492, 588, 429, 1197, 46, 1747, 629, 1269, 1110, 888, 1944, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6918;15;[898, 706, 932, 875, 492, 588, 1996, 429, 1197, 46, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6666;15;[1953, 932, 1289, 875, 492, 588, 429, 1197, 46, 1747, 629, 1269, 1110, 888, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;64;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;8723;15;[1890, 932, 1258, 875, 1259, 492, 588, 429, 1197, 46, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;96;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6933;15;[932, 875, 1259, 492, 588, 429, 1197, 46, 434, 1747, 629, 1269, 1110, 1915, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;96;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7856;15;[898, 706, 932, 875, 492, 588, 429, 1197, 46, 1999, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;96;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6531;15;[932, 777, 875, 523, 492, 588, 429, 1197, 1999, 1747, 629, 1269, 1110, 1502, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;96;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;11456;15;[932, 875, 523, 492, 588, 429, 1197, 1998, 594, 1747, 629, 1269, 1110, 1502, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;128;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6184;15;[1953, 932, 1258, 875, 1259, 492, 588, 429, 1197, 46, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;128;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7476;15;[932, 1258, 875, 1259, 492, 588, 429, 1197, 46, 1967, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;128;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7745;15;[932, 1258, 875, 1259, 492, 588, 429, 1197, 1933, 46, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;128;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;9237;15;[932, 1992, 875, 523, 492, 588, 429, 1197, 1747, 629, 1269, 1110, 1721, 1502, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;160;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;6838;15;[898, 706, 932, 875, 492, 588, 429, 1197, 46, 1999, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;160;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;8272;15;[898, 706, 932, 875, 492, 588, 429, 1197, 46, 1999, 1747, 629, 1269, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;160;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;7136;15;[932, 1992, 875, 523, 492, 588, 429, 1197, 1747, 629, 1269, 1110, 1721, 1502, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.5;160;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;8710;15;[932, 875, 1259, 492, 588, 429, 1197, 46, 434, 1747, 629, 1269, 1941, 1110, 223]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;64;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;10024;19;[1376, 647, 459, 1003, 651, 558, 1582, 1872, 1233, 882, 83, 1299, 1973, 503, 1527, 184, 538, 347, 1852]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;64;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;9895;19;[1571, 647, 7, 1960, 1864, 459, 1003, 651, 558, 1582, 1872, 1233, 882, 83, 503, 1527, 184, 538, 1948]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;64;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;10141;18;[1861, 1960, 778, 459, 1003, 558, 1582, 846, 78, 1872, 721, 882, 626, 1458, 503, 1527, 184, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;64;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;13613;19;[676, 1861, 1992, 459, 1003, 1995, 558, 1582, 1294, 1872, 721, 882, 626, 1458, 503, 1527, 184, 1177, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;96;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;8654;18;[1861, 778, 459, 1003, 558, 1582, 846, 78, 1872, 721, 882, 626, 1458, 503, 1527, 184, 538, 1725]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;96;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;10696;19;[897, 1861, 459, 1003, 1996, 558, 1582, 1872, 721, 882, 626, 1458, 503, 1527, 184, 1177, 1337, 889, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;96;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;9981;19;[1376, 1989, 647, 459, 1003, 651, 558, 1582, 335, 1872, 1233, 882, 83, 503, 1527, 184, 538, 347, 1852]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;96;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;13554;18;[897, 1861, 1992, 904, 459, 1003, 558, 1582, 1872, 721, 882, 626, 1458, 503, 1527, 184, 1177, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;128;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;9205;19;[1571, 1990, 647, 1960, 1864, 459, 1003, 651, 558, 1582, 1872, 1233, 882, 83, 1203, 503, 1527, 184, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;128;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;9927;18;[1282, 1827, 1861, 459, 1003, 1996, 558, 1582, 1872, 721, 882, 626, 1458, 915, 503, 1527, 184, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;128;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;11911;19;[676, 1861, 1992, 459, 1003, 1995, 558, 1582, 1294, 1872, 721, 882, 626, 1458, 503, 1527, 184, 1177, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;128;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;11323;18;[1282, 1827, 1861, 459, 1003, 1996, 558, 1582, 1872, 721, 882, 626, 1458, 915, 503, 1527, 184, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;160;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;9674;19;[1376, 647, 459, 1003, 651, 558, 1582, 335, 1872, 1233, 882, 83, 503, 1527, 184, 538, 347, 1852, 1980]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;160;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;14003;19;[1571, 1989, 647, 1960, 1864, 459, 1003, 651, 558, 1582, 1872, 1233, 882, 83, 1203, 503, 1527, 184, 538]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;160;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;14654;19;[1376, 647, 459, 1003, 651, 558, 1582, 335, 1872, 1233, 882, 83, 503, 1527, 184, 538, 347, 1852, 1980]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;0.75;160;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;15488;19;[647, 903, 1960, 1864, 459, 1003, 651, 558, 1582, 1872, 1233, 882, 83, 503, 1527, 184, 538, 1311, 1983]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;64;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;12806;21;[833, 1442, 1828, 612, 1028, 1445, 1733, 262, 1386, 492, 1516, 976, 1584, 210, 339, 1590, 1462, 1912, 955, 1214, 1791]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;64;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;13749;21;[833, 449, 1889, 1635, 931, 1284, 1445, 294, 1864, 492, 205, 1743, 178, 1074, 1939, 1590, 566, 1463, 247, 249, 955]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;64;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;11897;21;[833, 1697, 1828, 612, 1477, 262, 1096, 328, 1353, 1386, 492, 1743, 210, 1299, 1590, 1462, 1658, 955, 1148, 1214, 1791]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;64;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;14407;21;[833, 1538, 611, 1828, 612, 1445, 262, 1386, 492, 1101, 210, 339, 1619, 1525, 1590, 1462, 955, 1982, 1791, 1055, 95]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;96;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;16373;21;[833, 449, 1635, 1923, 1284, 165, 1509, 902, 1225, 492, 205, 1743, 1715, 1590, 1463, 1239, 215, 249, 955, 1788, 1308]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;96;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;14551;21;[833, 449, 1889, 1635, 1284, 1445, 553, 492, 205, 1743, 241, 178, 242, 499, 1685, 1590, 566, 1463, 249, 1978, 955]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;96;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;14262;21;[833, 449, 1635, 1923, 1284, 165, 1509, 902, 1225, 492, 205, 1743, 1715, 1590, 1463, 1239, 215, 249, 955, 1788, 1308]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;96;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;14223;21;[833, 1538, 611, 1923, 1828, 612, 1445, 262, 1386, 492, 1101, 210, 339, 1619, 1525, 1590, 1462, 955, 1791, 1055, 95]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;128;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;13465;22;[833, 449, 1889, 1635, 1284, 1445, 294, 1896, 1545, 492, 205, 1743, 178, 1074, 1939, 1590, 566, 1463, 247, 249, 1978, 955]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;128;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;14958;21;[833, 770, 1538, 1828, 612, 933, 262, 1320, 1386, 492, 1772, 143, 210, 1301, 1590, 313, 1529, 1789, 542, 1791, 1983]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;128;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;15613;21;[833, 449, 1889, 1635, 931, 1284, 1445, 294, 492, 205, 1743, 178, 1074, 1939, 1590, 566, 1463, 247, 951, 249, 955]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;128;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;16871;21;[833, 449, 1635, 1923, 1284, 100, 1638, 1225, 492, 205, 1743, 1715, 1590, 1463, 1239, 249, 955, 1788, 669, 1534, 1055]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;160;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;13110;21;[833, 449, 1635, 1923, 1284, 165, 1509, 902, 1225, 492, 205, 1743, 1715, 1590, 1463, 1239, 215, 249, 955, 1788, 1308]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;160;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;17762;21;[833, 449, 1635, 1923, 1284, 165, 1509, 902, 1225, 492, 205, 1743, 1715, 1590, 1463, 1239, 215, 249, 955, 1788, 1308]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;160;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;22652;22;[833, 770, 1828, 612, 933, 262, 1511, 1320, 1386, 492, 1772, 143, 210, 1301, 1590, 1848, 313, 955, 1723, 1915, 542, 1791]
rerun/w_rnd_graph_2000_30_1.txt;2000;600700;1.0;160;0.4;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;24567;22;[833, 770, 1828, 612, 933, 262, 1320, 1386, 1994, 492, 1772, 1996, 1614, 143, 210, 466, 1301, 1590, 313, 955, 542, 1791]
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.1;64;0.1;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;1386;14;[162, 932, 5, 166, 391, 43, 302, 433, 113, 759, 120, 795, 443, 828]
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.1;64;0.2;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;1091;14;[993, 162, 5, 870, 391, 425, 620, 433, 759, 215, 120, 795, 828, 797]
rerun/w_rnd_graph_1000_20_2.txt;1000;100400;0.1;64;0.3;COMPLETE_BASED_INSERTION;RANDOM_BASED_DESTRUCTION;COMPLETE_BASED_RECONSTRUCTION;1708;14;[162, 5, 166, 391, 970, 43, 302, 433, 113, 759, 120, 795, 443, 828]
